system,display_name,recommended_primary_source,stable_field_count,openai_field_count,openai_trigger_count,libretro_raw_entry_count,libretro_distinct_address_count,action_replay_cheat_count
gb,Galaga _ Galaxian (Possibly Fake) (Japan) (Xploder),,0,0,0,0,0,0
gb,"Game _ Watch Gallery (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Game _ Watch Gallery 2 (U) [S],,0,0,0,0,0,0
gb,"Game Boy Camera (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,Game Boy Camera Gold (USA) (SGB Enhanced),,0,0,0,0,0,0
gb,Game Boy Gallery - 5 Games in 1 (Europe) (SGB Enhanced),,0,0,0,0,0,0
gb,Game Boy Wars (Japan),,0,0,0,0,0,0
gb,Game Boy Wars 1 _ Game Boy Wars Turbo (Japan) (GameShark),,0,0,0,0,0,0
gb,Game Boy Wars Turbo (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Game Boy Wars Turbo - Famitsu Version (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,"Game of Harmony, The (USA) (GameShark)",libretro_database,0,0,0,1,1,0
gb,Ganbare Goemon - Sarawareta Ebisumaru (Japan),,0,0,0,0,0,0
gb,Ganso!! Yancha Maru (Japan),,0,0,0,0,0,0
gb,Garfield Labyrinth (Europe),libretro_database,0,0,0,1,1,0
gb,"Gargoyle's Quest (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,"Gauntlet II (USA, Europe) (Game Genie)",libretro_database,0,0,0,2,2,0
gb,"Gear Works (USA, Europe)",libretro_database,0,0,0,1,1,0
gb,Gekitou Power Modeller (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Genjin Cottsu (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Genki Bakuhatsu Gambaruger (Japan),libretro_database,0,0,0,1,1,0
gb,"George Foreman's KO Boxing (USA, Europe) (Game Genie)",libretro_database,0,0,0,1,1,0
gb,"Getaway, The - High Speed II (USA)",libretro_database,0,0,0,1,1,0
gb,Ghostbusters II (World) (GameShark),libretro_database,0,0,0,2,2,0
gb,Go Go Ackman (Japan) (SGB Enhanced),libretro_database,0,0,0,1,1,0
gb,"Go! Go! Tank (USA, Japan) (GameShark)",,0,0,0,0,0,0
gb,"Goal! (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,God Medicine - Fukkokuban (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,"Godzilla (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Golf (World) (Game Genie),,0,0,0,0,0,0
gb,Gradius - The Interstellar Assault (USA) (Game Genie),,0,0,0,0,0,0
gb,Great Greed (USA),,0,0,0,0,0,0
gb,Gremlins 2 - The New Batch (World) (GameShark),libretro_database,0,0,0,4,4,0
gb,HAL Wrestling (USA),,0,0,0,0,0,0
gb,Hammerin' Harry - Ghost Building Company (Europe),,0,0,0,0,0,0
gb,Harvest Moon GB (USA) (SGB Enhanced),,0,0,0,0,0,0
gb,"Hatris (Japan, USA)",,0,0,0,0,0,0
gb,Hayaoshi Quiz - Ouza Ketteisen (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Head On (Japan) (GameShark),,0,0,0,0,0,0
gb,Heavyweight Championship Boxing (USA) (Game Genie),,0,0,0,0,0,0
gb,Heiankyo Alien (USA),libretro_database,0,0,0,2,2,0
gb,Heracles no Eikou - Ugokidashita Kamigami (Japan),,0,0,0,0,0,0
gb,"Hercules (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,Hero Shuugou!! Pinball Party (Japan),,0,0,0,0,0,0
gb,Hiden Inyou Kikouhou - Ca Da (Japan),,0,0,0,0,0,0
gb,High Stakes (USA) (Game Genie),,0,0,0,0,0,0
gb,High Stakes Gambling (USA),,0,0,0,0,0,0
gb,"Hit the Ice - VHL - The Official Video Hockey League (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Home Alone (World) (Game Genie),,0,0,0,0,0,0
gb,"Home Alone 2 - Lost In New York (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,Hook (World) (Game Genie),,0,0,0,0,0,0
gb,Hudson Hawk (USA),,0,0,0,0,0,0
gb,Hugo (Europe) (SGB Enhanced),,0,0,0,0,0,0
gb,Hugo 2 (Germany),,0,0,0,0,0,0
gb,"Humans, The (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Hunchback of Notre Dame, The - 5 Foolishly Fun Topsy Turvy Games (USA, Europe) (SGB Enhanced)",libretro_database,0,0,0,3,3,0
gb,"Hunt For Red October, The (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Hyper Dunk (Europe),,0,0,0,0,0,0
gb,Hyper Lode Runner (World) (Game Genie),,0,0,0,0,0,0
gb,Ikari no Yousai 2 (Japan),,0,0,0,0,0,0
gb,In Your Face (USA) (Game Genie),,0,0,0,0,0,0
